TITLE,PRICE,LINK
Love Knots Adjustable Statement Ring,₹319,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/997122/small/love-knots-adjustable-statement-ring-vmjai42825-ms-20200902-24976-1olietu.jpg
Emerald Cut CZ Gem Ring,₹799,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1005501/small/emerald-cut-cz-gem-ring-2-dcjai23127-ms-20210131-1028-zqyx9t.jpg
Heavily Embellished Women's Cocktail Ring,₹899,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1005493/small/heavily-embellished-women-s-cocktail-ring-dcjai23139-ms-20210131-1028-xmc7kt.jpg
Emerald Cut Zircon Embellished Ring,₹399,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004480/small/emerald-cut-zircon-embellished-ring-dcjai23778-ms-20201223-8075-1jqkgos.jpg
CZ Gems Adorned Women's Ring,₹479,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004464/small/cz-gems-adorned-women-s-ring-2-dcjai23774-ms-20201223-8075-wjimvm.jpg
CZ Gems Embellished Chain Ring,₹599,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004448/small/cz-gems-embellished-chain-ring-dcjai23734-ms-20201223-8075-1ohkew7.jpg
Four Prong Setting CZ Gem Adorned Ring,₹499,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004704/small/four-prong-setting-cz-gem-adorned-ring-dcjai23749-ms-20201223-5520-1ikjnxr.jpg
Designer Inspired Lightly Embellished Ring,₹599,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/963297/small/designer-inspired-lightly-embellished-ring-dcjai23705-ms-20200125-4810-1o74b4o.jpg
Yellow Gold Plated Band Ring,₹409,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/962940/small/yellow-gold-plated-band-ring-dcjai23526-ms-20200125-3207-1gdro8u.jpg
Round Cut Zircon Gemstone Adorned Ring,₹279,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/963276/small/round-cut-zircon-gemstone-adorned-ring-dcjai23520-ms-20200125-3207-1on9f30.jpg
Princess Cut Zircon Gemstone Ring,₹449,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/963260/small/princess-cut-zircon-gemstone-ring-dcjai23766-ms-20200125-3207-7qsf34.jpg
Fidget Floral Motif Open Ring,₹849,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1005507/small/fidget-floral-motif-open-ring-dcjai22790-ms-20210131-13144-1myorqj.jpg
Troika Floral Motifs Open Ring,₹949,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/956666/small/troika-floral-motifs-open-ring-dcjai22780-ms-20200109-26483-11bugrs.jpg
Ruby (Manik) 3.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹749,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/794902/small/rashi-ratna-3-25-ratti-ruby-ring-rsjai20396-ms-20190404-108183-1s48ooj.jpg
Pearl (Moti) 5.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹949,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/794877/small/rashi-ratna-5-25-ratti-pearl-ring-rsjai20394-ms-20190404-108183-2ctk3i.jpg
Silver Plated Band Ring,₹409,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/812943/small/silver-plated-band-ring-2-dcjai22724-ms-20190523-6887-3vhuxh.jpg
Gemstones Adorned Stars Motifs Ring,₹339,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/813022/small/gemstones-adorned-stars-motifs-ring-dcjai22699-ms-20190523-2677-10ioyyg.jpg
Kalbelia Adjustable Statement Ring,₹439,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004958/small/kalbelia-adjustable-statement-ring-vmjai43175-ms-20210121-16749-4mqgz0.jpg
Evil Eyes Eye Motif Ring,₹409,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004344/small/evil-eyes-eye-motif-ring-vmjai43078-ms-20201215-20141-5sttqf.jpg
Women's Designer Inspired Band Ring,₹599,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/998601/small/women-s-designer-inspired-band-ring-dcjai23773-ms-20200918-24021-s47y6g.jpg
Irregular Cut Zircon Gems Cocktail Ring,₹799,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/989190/small/irregular-cut-zircon-gems-cocktail-ring-dcjai23735-ms-20200614-3558-1j218wn.jpg
Single Princess Cut Zircon Gem Adorned Ring,₹979,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004696/small/single-princess-cut-zircon-gem-adorned-ring-dcjai23755-ms-20201223-5520-17a6awn.jpg
Yellow Gold Plated Grapevine Pattern Ring,₹509,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/974849/small/yellow-gold-plated-grapevine-pattern-ring-dcjai23771-ms-20200207-24804-10iu443.jpg
Grapevine Design CZ Gems Adorned Ring,₹509,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/974523/small/grapevine-design-cz-gems-adorned-ring-dcjai23722-ms-20200207-3592-15ob1lk.jpg
Silver Plated Designer Inspired Ring,₹389,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/974802/small/silver-plated-designer-inspired-ring-1-dcjai23664-ms-20200207-3592-1lhaw08.jpg
Round Cut CZ Gem Adorned Ring,₹249,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/973268/small/round-cut-cz-gem-adorned-ring-dcjai23732-ms-20200205-32011-12lxggm.jpg
CZ Gems Embellished Bang Ring,₹349,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004712/small/cz-gems-embellished-bang-ring-dcjai23719-ms-20201223-5520-1vk9jml.jpg
Temple of Love Tribal Motifs Statement Ring,₹279,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/963470/small/temple-of-love-tribal-motifs-statement-ring-vmjai42445-ms-20200125-4810-164b30a.jpg
Women's Lightly Embellished Trendy Ring,₹549,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/963198/small/women-s-lightly-embellished-trendy-ring-dcjai23704-ms-20200125-3207-th88cf.jpg
Gulistan Floral Motif Statement Ring,₹249,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/956877/small/gulistan-floral-motif-statement-ring-1-vmjai42137-ms-20200109-9931-pztp3i.jpg
Durga Tiger Claw Adjustable Ring,₹179,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/918042/small/durga-tiger-nail-adjustable-ring-vmjai42007-ms-20191016-21289-18nizak.jpg
Gems Embellished Double Finger Ring,₹479,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/881872/small/gems-embellished-double-finger-ring-dcjai22725-ms-20190808-17353-q49w5j.jpg
Nayantara Circle and Scrolls Statement Ring,₹239,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/881993/small/nayantara-circle-and-scrolls-statement-ring-vmjai41659-ms-20190808-17353-1wghqr6.jpg
Taal Mridang Two-Finger Statement Ring,₹289,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/884539/small/taal-mridang-two-finger-statement-ring-vmjai41600-ms-20190820-32250-80e6u4.jpg
Rabaari Ethnic Statement Ring,₹249,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/853895/small/rabaari-ethnic-statement-ring-vmjai41555-ms-20190630-16207-vxbtmh.jpg
Emerald (Panna) 7.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,"₹1,249",https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/795032/small/rashi-ratna-7-25-ratti-emerald-ring-rsjai20413-ms-20190404-12510-1d3fnd1.jpg
Garnet (Gomed) 7.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,"₹1,149",https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/795001/small/rashi-ratna-7-25-ratti-garnet-ring-rsjai20401-ms-20190404-12510-azz1b5.jpg
Garnet (Gomed) 5.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹999,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/794922/small/rashi-ratna-5-25-ratti-garnet-ring-rsjai20400-ms-20190404-108183-gyz59u.jpg
Ruby (Manik) 7.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,"₹1,149",https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/794911/small/rashi-ratna-7-25-ratti-ruby-ring-rsjai20398-ms-20190404-108183-p6ytn8.jpg
Moksha Damru Adjustable Ring,₹319,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/821680/small/moksha-damru-adjustable-ring-vmjai40525-ms-20190605-16067-1gts9h3.jpg
